<1>	(0.000-1.998)	<misc> news F_M .	news F_M .
<178>	(1052.359-1055.567)	hindi tito Ron (()) I really believe in this sport eh .	no Tito Ron (()) I really do believe in this sport .
<179>	(1055.567-1075.024)	<hes> hindi naman sa pag-aano pero talagang naniniwala ako na malaki ang malayo ang mararating nilang -- nitong sports na beach tennis dito sa Pilipinas kasi <hes> napakarami nating island napakarami nating magagandang beach na imposibleng hindi kayo makakapaglaro .	I don't mean to insinuate but I really believe that they -- this sport which is beach tennis will be huge and go far here in the Philippines because we have a lot of islands we have a lot of beautiful beaches that it is impossible for you not to play .
<180>	(1075.024-1077.570)	kahit saan puwede laruin 'yan dito .	that can be played anywhere here .
<181>	(1077.570-1078.171)	that's right .	that's right .
<182>	(1078.171-1086.846)	at well maraming salamat ah sa -- for joining us dito sa aksiyon sports <overlap> thank you tito Ron and I hope to see you sa mga susunod pa nating beach tennis clinic ha .	and well thanks a lot -- for joining us here in Action Sports thank you Tito Ron and I hope to see you in our coming beach tennis clinics .
<183>	(1086.846-1090.525)	oo siguro next -- next -- next Sunday 'yon baka -- gusto ko rin maglaro eh .	yes maybe that will be next -- next -- next Sunday maybe -- because I also want to play .
<184>	(1090.525-1094.946)	in 'nong Sunday lang <overlap> you should try talagang you'll really enjoy it tito Ron .	just last Sunday you should try you'll really really enjoy it Tito Ron .
<185>	(1094.946-1099.610)	hindi lang ako na kapag <hes> try 'nong ano 'nong Sunday well hindi kasi ako naka-shorts .	I just wasn't able to try last Sunday well because I was not wearing shorts .
<186>	(1099.610-1107.467)	<laugh> opo basta naka-shorts lang <overlap> naka-tsinelas kayong dumating tapos 'yun na tuturuan namin kayong maglaro ng beach tennis .	yes as long as you come in shorts and slippers then that's it we will teach you how to play beach tennis .
<187>	(1107.467-1108.010)	oo .	yes .
<188>	(1108.010-1109.818)	'tsaka ang sarap din niyang i-annotate 'no ?	and it's fun to annotate it too right ?
<189>	(1109.818-1113.063)	<hes> kasi tinry ko 'di ba nag-commentator ako no'n .	because I also tried being a commentator before right .
<190>	(1113.063-1116.774)	<hes> madali rin eh 'tsaka exciting i-annotate .	it also seems easy and exciting to annotate .
<191>	(1116.774-1127.097)	maram- -- mabilis rin kasi 'yung aksiyon <overlap> minsan hindi gaya do'n sa mga regular lawn tennis na mahaba 'yung mga rally <overlap> minsan hindi ka masyadong magsasalita .	-- the action is sometimes fast-paced unlike with regular lawn tennis where the rallies are long and sometimes you don't talk as much .
<192>	(1127.097-1131.966)	pero dito talagang laging mayroon kang sasabihin dahil <overlap> punong-puno ng aksiyon .	but here you always have something to say because it is full of action .
<193>	(1131.966-1134.870)	<laugh> (()) me tito Ron .	(()) me Tito Ron .
<194>	(1134.870-1143.870)	okey <hes> siguro ano isang tanong na lang anong -- anong Christmas wish mo para sa sport na 'to at para na rin sa ating mga atleta ?	okay maybe just one more question what is your Christmas wish for this sport and also for our athletes ?
<195>	(1143.870-1153.238)	<hes> sa ating mga atleta sana eh lahat ng suporta ng gobyerno eh makuha po nating lahat dahil talagang napakagagaling ng mga Pilipino .	for our athletes I wish that all of us would get all the support of the government because the Filipinos are really very good .
<196>	(1153.238-1155.409)	I believe that the Filipino athletes ~ %incomplete	I believe that the Filipino athletes %incomplete
