<1>	(0.000-2.175)	<laugh> ano 'to ?	what is this ?
<271>	(761.457-762.562)	so 'yun 'yung gusto ko .	so that's what I want .
<272>	(762.562-763.480)	di malayo 'yun .	that's not far-fetched .
<273>	(763.480-766.373)	<hes> coach ka ba do'n sa no car nopal ?	were you a coach in No Car Nopal ?
<274>	(766.373-767.130)	hindi .	no .
<275>	(767.130-768.707)	anu-ano ka sa no car nopal ?	what were you in No Car Nopal ?
<276>	(768.707-769.784)	rakitelo .	a racketeer .
<277>	(769.784-771.398)	<laugh> ano rakitelo ?	what's a racketeer ?
<278>	(771.398-773.954)	'yung ano nag-iisa ng tao gano'n ba 'yon ?	someone who tricks people is that what it is ?
<279>	(773.954-775.690)	<hes> hindi naman .	not really .
<280>	(775.690-777.474)	<hes> kahit na anong raket lang pinapasok .	someone who gets involved in any racket .
<281>	(777.474-778.737)	<overlap> ah basta kumita .	ahh just to earn money .
<282>	(778.737-780.500)	oo basta kumita .	yes just to earn money .
<283>	(780.500-784.835)	so mga buhat kargador sa palengke taga benta .	so like a porter at the market a vendor .
<284>	(784.835-787.850)	ah kung anu-ano 'yung kalokohan .	ahh all sorts of silly things .
<285>	(787.850-792.100)	ano ba to first <hes> na pasok mo sa T_V or ?	what is this first you inserted it in the T_V or ?
<286>	(792.100-795.627)	first sitcom talaga na kasali kami na mga players .	first sitcom that includes us players .
<287>	(795.627-796.940)	<overlap> na tuloy-tuloy ?	that's continuous ?
<288>	(796.940-797.958)	<overlap> na tuloy-tuloy .	that's continuous .
<289>	(797.958-798.546)	oo .	yes .
<290>	(798.546-800.900)	okey naman experience so far ?	and the experience is okay so far ?
<291>	(800.900-802.300)	masaya kasi bago di ba ?	it's fun because it's new right ?
<292>	(802.300-802.482)	ah huh .	yes .
<293>	(802.482-812.644)	'tsaka <hes> working mood 'yung mga <hes> komedyante na <hes> talagang premyado na 'yun mga talagang <no-speech> tayo mismo pinapanood natin .	also the comedians are on working mode they're really award-winning even us we watch it .
<294>	(812.644-818.956)	sila Oggie sila Tuesday si Long si yo- -- kuya Yoyong si ah huh direct Randy .	Oggie Tuesday Long Yoyong -- uhm brother Yoyong uh Direct Randy .
<295>	(818.956-833.645)	alam mo na pag nandodoon ka sa set mas pinapadali nila 'yung ano 'yung so makikita mo rin ang sarili mo na after na kunyari mamama- -- matupad 'yung one year na naglalaro ka 'tapos okey na that's it mag-ta-transition ka dito sa ganitong career ?	you know that when you're in the set they'll make it easier hence you'll see yourself after -- one year of playing and then okay you'll transition to this kind of career ?
<296>	(833.645-835.640)	showbiz iba 'yung ano ko eh .	showbiz my is different .
<297>	(835.640-837.899)	medyo nasa ano 'yan nasa radar mo ba 'yan ?	is it in your radar ?
<298>	(837.899-839.405)	wala naman .	not really .
<299>	(839.405-841.630)	gusto ko talaga kasi mag-coach eh .	I really want to be a coach .
<300>	(841.630-842.511)	ah okay .	oh okay .
<301>	(842.511-843.821)	<overlap> 'yun 'yung gusto ko .	that's what I want .
<302>	(843.821-855.174)	gusto ko e 'yung passion ko sa basketball at 'tsaka 'yung mga natuto -- lahat ng mga nasa puso ko tungkol sa basketball 'yun 'yung gusto kong iano eh ah huh ipalit sa mga -- kung baga i-share sa mga bata .	I want my passion in basketball and what I learned -- everything in my heart about basketball that's what I want -- to share to the children .
<303>	(855.174-860.299)	so ayaw mo ng <laugh> kasi papalitan ka na lang namin .	so you don't want to because we'll just replace you .
<304>	(860.299-860.709)	ayaw mo 'ata .	you don't seem to want it .
<305>	(860.709-863.558)	'yan talaga kasi 'yung <laugh> ka-size ng puso mo .	that's really the one which is the same size as your heart .
<306>	(863.558-866.137)	dalawa puso mo eh .	you have two hearts .
<307>	(866.137-873.939)	anyway grabe ano ibang klase tong <hes> na-experience no ni Willie at <hes> full circle ka talaga .	anyway it's crazy right this experience of Willie's is something else and you've really come full circle .
<308>	(873.939-878.409)	lahat na halos pinasok mo na eh .	it seems like you have gotten yourself into everything .
<309>	(878.409-889.361)	'nong ginawa kong pa-joke na parang pinapa-retire na rin ka 'ko ako eh at least ka 'ko puntahan ko na lahat ng teams para mayroon akong remembrance na kada isang uniform .	when I jokingly said that it looks like I am being asked to retire I said that I should at least join all the teams so I would have each uniform as a remembrance .
<310>	(889.361-889.800)	oo .	yes .
<311>	(889.800-895.383)	itatabi ko tapos iikot sa bahay sa wall eh padagdag ng padagdag 'yung teams sabi ko parang hindi na ako aabot eh .	I would keep them then put them on walls all over the house but there were more and more teams so I said it looks like I won't be able to make it .
<312>	(895.383-903.831)	<laugh> ito ito serious question <hes> undoubtedly you're gonna be -- <hes> you're already one of the twenty five and forty greatest di ba ?	here here is a serious question undoubtedly you're gonna be -- you're already one of the twenty five and forty greatest right ?
<313>	(903.831-904.659)	<overlap> yes I am .	yes I am .
<314>	(904.659-913.677)	if magkaroon ng time na sabihin okey i-re-retire ko ang jersey ni Willie Miller aling jersey ang ipapa-retire mo ?	if there would come a time that someone will say okay I will retire the jersey of Willie Miller which jersey will you have retired ?
<315>	(913.677-916.896)	'yun nga eh kasi wala naman akong pakialam diyan eh .	exactly because I don't care about that anyway .
<316>	(916.896-917.569)	ah talaga ?	ahh really ?
<317>	(917.569-918.180)	<overlap> oo .	yes .
<318>	(918.180-918.909)	well anong team ?	well which team ?
<319>	(918.909-919.632)	anong team ?	which team ?
<320>	(919.632-921.930)	<overlap> hindi ka sentimental pagdating sa ganiyan .	you're not sentimental when it comes to that .
<321>	(921.930-928.406)	kung baga kasi <no-speech> kung gusto mong pa-retire ka di do'n ka sa team na love na love ka .	it's like if you want to retire then be with the team that really loves you .
<322>	(928.406-929.576)	ano ba 'yung team na love na love ka ?	which team really loves you ?
<323>	(929.576-930.850)	bat ka binitawan ?	why were you released ?
<324>	(930.850-931.949)	<laugh> oo 'di ba ?	yes right ?
<325>	(931.949-934.270)	bakit ka binitawan ?	why were you let go of ?
<326>	(934.270-941.540)	so loyalty loyalty ng ano -- kahit ano kasi pag maglalaro ka sa isang team automatically 'yan nandodoon 'yung puso mo eh .	so it was about loyalty or something -- because even if you are playing for a team it's automatic that your heart would be in it .
<327>	(941.540-943.068)	gusto mong ipanalo 'yung isang team eh .	you want to make the team win .
<328>	(943.068-943.801)	ah huh .	yes .
<329>	(943.801-946.989)	kaso kada ma-te-trade ka ang sama-sama ng loob mo di ba ?	but each time you get traded you have ill feelings right ?
<330>	(946.989-951.331)	kung bakit ka tinrade kasi lahat kung baga everyday parang pamilya na kayo magkakasama kayo .	why you were traded because everyone as they say every day you are like a family already you are together .
<331>	(951.331-952.837)	tapos bat gagawin sa 'yo 'yon ?	then why would they do that to you ?
<332>	(952.837-953.933)	oo oo .	yes yes .
<333>	(953.933-957.942)	so 'yung retirement ah huh sa inyo na 'yan .	so the retirement yes that's yours .
<334>	(957.942-959.100)	sa inyo na 'yan .	it's yours .
<335>	(959.100-960.340)	<no-speech>	<no-speech>
<336>	(960.340-961.747)	pakialam ko dami kong uniform .	why should I care I have a lot of uniforms .
<337>	(961.747-965.198)	<laugh> di ano puwede bang isabit lahat 'yon ?	of course not can I put all of them on display ?
<338>	(965.198-967.764)	lahat ng pinagdaanan ko di isabit na lang lahat .	everything I went through just put all of them on display .
<339>	(967.764-969.879)	'tsaka at least puwede 'yun dalhin mo lahat 'yan .	and at least you can bring all of them .
<340>	(969.879-971.184)	<overlap> kausapin mo lahat .	talk to all of them .
<341>	(971.184-972.670)	'tsaka mag-apply kang commissioner .	and apply as a commissioner .
<342>	(972.670-974.117)	kasi naikot mo na ang ibang team eh .	because you already went through other teams .
<343>	(974.117-975.783)	<overlap> hindi delikado eh kalaban ko si Danny .	no it's risky my competitor is Danny .
<344>	(975.783-978.560)	<laugh> mas matanda sa 'kin si Danny eh .	because Danny is older than me .
<345>	(978.560-987.065)	Danny <laugh> so kasama nga namin sa practice eh so sabi ko nga oh kada kita ko nga commissioner commissioner nagagalit <laugh> sa 'kin .	Danny so he was with us at practice so like I said each time I see him I say commissioner commissioner he gets mad at me .
<346>	(987.065-989.826)	don't call me that Willie don't call me that commissioner Danny .	don't call me that Willie don't call me that commissioner Danny .
<347>	(989.826-992.089)	sabi ko oh you're still playing and then you're gonna be the commissioner .	I said oh you're still playing and then you're gonna be the commissioner .
<348>	(992.089-994.117)	oh we're gonna win <laugh> we're gonna win .	oh we're gonna win we're gonna win .
<349>	(994.117-996.800)	pero grabe ano .	but it's crazy right .
<350>	(996.800-1001.367)	we would like to thank Willie sa ano 'yung istorya maraming matutuwa niyan .	we would like to thank Willie for the story many would be happy .
<351>	(1001.367-1015.093)	'yung mga <hes> never <hes> been told a stories at <hes> eto nai-share satin ni ni Willie at I'm sure marami ding ibang players no <hes> kasi 'yun na nga pinag-uusapan natin mga vino players .	those never been told stories and here they are being shared to us by Willie and I'm sure there are also many other players because that's what we are talking about vino players .
<352>	(1015.093-1015.488)	oo .	yes .
<353>	(1015.488-1020.960)	'yung sinasabi nila na pa-retire na pero hindi may mga <hes> nakaka-contribute pa rin .	those whom they say are about to retire but are not have are still able to contribute too .
<354>	(1020.960-1027.609)	nakaka-contribute pa rin at masuwerte 'yung magiging <hes> kung -- pag naging coach na nga si Willie 'yung <hes> 'yung mga bata .	they are still able to contribute and those who are about to be his kids will be lucky if -- if Willie becomes a coach .
<355>	(1027.609-1034.946)	bawal 'yung mga nakasimangot 'tsaka <laugh> 'yung mga mukhang may pinisi na wala ako kukuning gano'ng mukha 'yung mga nakaganon ohh .	those who are frowning and have scrunched up faces are not allowed I will not accept anyone with that face those who look like this .
<356>	(1034.946-1037.138)	<laugh> puwede .	possible .
<357>	(1037.138-1039.504)	'yun ang pinaka-play ko .	that will be my actual play .
<358>	(1039.504-1049.312)	oh imbitahin mo muna 'yung mga <hes> mga brows <overlap> 'yan 'yan <hes> panoorin n'yo 'yung the bro show unang-una .	go ahead invite all the the bros there there first of all watch the bro show .
<359>	(1049.312-1056.740)	<overlap> and secondly support P_B_A lalong-lalo na 'yung team ko ngayon talk'n'text .	and secondly support the P_B_A especially my current team Talk n Text .
<360>	(1056.740-1057.513)	babawi kami .	we will recover .
<361>	(1057.513-1060.278)	<laugh> natatakot ako pag sinasabi kong babawi eh .	I get scared whenever I say that we will bounce back .
<362>	(1060.278-1062.662)	natatakot ako pag sinasabi kong babawi eh .	because I get scared whenever I say that we will bounce back .
<363>	(1062.662-1069.503)	babawi kami next di babawi kami kasi parang medyo ano lang parang bad start lang kami .	we will recover next time we'll make up because it seems like we just had a bad start .
<364>	(1069.503-1070.280)	'yan okay .	that sounds okay .
<365>	(1070.280-1072.306)	kayo galing na kayo ng champion eh .	you've already been champions .
<366>	(1072.306-1075.333)	masarap mag-back to back to back to back eh .	because it is good to have a back to back to back to back .
<367>	(1075.333-1083.770)	<laugh> at 'tsaka suportahan n'yo nga rin pala every Sunday try to watch no harm no foul .	and also support every Sunday try to watch No Harm No Foul .
<368>	(1083.770-1087.179)	eight P_M after ng who wants to be a millionaire .	eight P_M after Who Wants to be a Millionaire .
<369>	(1087.179-1096.918)	so 'yon first namin nila Gary Keifer Bo Belga 'yung mga players na <no-speech> mag- -- maging part ng sitcom .	so this is our first with Gary Keifer Bo Belga the players -- to be part of a sitcom .
<370>	(1096.918-1098.926)	so no harm no foul with ~ %incomplete	so no harm no foul with %incomplete
