aardvark mhanga
certain yakini
certificate cheti
certificate hati
certificate shahada
certificates vyeti
Cervidae familia
Cervidae ya
Cervidae kulungu
Chad Chadi
Chadian Mchadi
Chadians Wachadi
chaff kapi
chaff makapi
chaff wishwa
chain bangili
chain kidani
chain mikufu
chain mkufu
chains mikufu
chain ushanga
chair kiti
chairman mwenyekiti
chairperson kinara
chairperson mwenyekiti
chairs viti
chakacha chakacha
chalcedony kalkedoni
chalk chaki
chalks machaki
challenge changa
challenge moto
challenges changa
challenges moto
chameleon kigeugeu
chameleon kinyonga
chameleon lumbwi
champion bingwa
champion championi
champions mabingwa
champions machampioni
chance nafasi
change badili
change badiliko
change badilisha
change chenji
change geuko
change geuzo
change mabadiliko
change mabaliko
changes mabadiliko
changes mageuko
changes mageuzo
chaos kesheshe
chaos rabsha
chapati chapati
chapel chapeli
chapter faslu
chapter sura
character sifa
charcoal kaa
charcoal makaa
charcoal stove
charcoal jiko
charge chaji
charge kabili
charge shtaka
charges mashtaka
chart chati
Charybdis Kharibdi
chase kimbiza
chaste tree
chaste mti
chaste safi
cheat ghururi
cheat hadaa
cheek shavu
cheerful damisi
cheers afya
cheers maisha
cheers marefu
cheers vifijo
cheesecake keki
cheesecake ya
cheesecake jibini
cheese chizi
cheese jibini
cheese samli
cheetah duma
chemical kemikali
chemist mwanakemia
chemistry kemia
cheque cheki
cheques macheki
cheques mahundi
Cherokee Kicherokii
Cherokee Mcherokii
cherry cheri
cherry mcheri
cherry rangi
cherry ya
cherry cheri
chess chesi
chess sataranji
chest cavities
chest vifuani
chest cavity
chest kifuani
chest kifua
chestnut aramoni
chestnut tree
chestnut mwaramoni
Chicago Chicago
Chicago chichago
Chichewa Kinyanja
chicken kuku
chicken louse
chicken utitiri
chicken nyama
chicken ya
chicken kuku
chicken pox
chicken choa
chickenpox surua
chicken pox
chicken tetekuwanga
chick kifaranga
chief chifu
chief jumbe
chiefs machifu
chifu chifu
childhood uana
childhood utoto
child mtoto
child mwana
child mzawa
child out
child of
child wedlock
child mwanaharamu
children home
children makaazi
children ya
children mtoto
children wana
children watoto
children wazawa
Chilean Kichile
Chilean Mchile
Chileans Wachile
Chile Chile
chili pili
chili pili
chilli basbasi
chimney dohani
chimpanzee sokwe
chimpanzee mtu
China uchina
Chinese chakula
Chinese cha
Chinese kichina
chinese kichina
Chinese Kichina
Chinese Mchina
chinese person
chinese mchina
chin kidevu
chin tawa
chipboard chipubodi
chips chipsi
chisel patasi
chisoko masoko
chital chitali
chlamydia klamidia
chloroplast chembeumbijani
chocolate chokoleti
chocolate rangi
chocolate ya
chocolate chokoleti
choice chaguo
choir kwaya
choirs makwaya
cholera kipindupindu
cholera waba
chosen one
chosen mteule
Christianity Ukristo
Christian kikristo
Christian Kikristo
christian mkristo
Christian Mkristo
christian mkristu
christians kanisa
christians wakristo
christians wakristu
christ kristo
Christ Kristo
christmas krismasi
Christmas Krismasi
chromosome chembeuzi
chrysoprase krisopraso
chums mazingaumbwa
churches makanisa
church kanisa
church leaders
church viongozi
church wa
church dini
Church of
Church Jesus
Church Christ
Church of
Church Latter-day
Church Saints
Church Kanisa
Church La
Church Yesu
Church Kristo
Church la
Church Watakatifu
Church wa
Church Siku
Church za
Church Mwisho
Chuukese kichuuk
cigarette sigara
cigarrette sigara
Cinderella Bibi
Cinderella Majivu
cinema sinema
cinemas masinema
circle duara
circular object
circular peteo
circumcise tairi
circumcision tohara
cities majiji
citizen mwananchi
citizen raia
citizenship uraia
citizens wananchi
city council
city baraza
city la
city jiji
city councils
city mabaraza
city ya
city jiji
city jiji
city mji
civet ngawa
civet zabadi
claim dai
clamp kulabu
clamp mbano
clamps makulabu
clamps mibano
clarification yakin
clarinet nzumari
class darasa
classroom darasa
classrooms madarasa
clavicle mtulinga
claw kucha
cleaner msafishaji
cleaner mwoshaji
cleaners wasafishaji
cleaning usafishaji
cleanliness usafi
clean nadhifu
clean safi
clean safisha
clear bayana
cleaver pambazua
clerk karani
clerk's job
clerk's ukatibu
clerks makarani
clever erevu
clever mwerevu
climate change
climate mabadiliko
climate ya
climate anga
climate tabianchi
climb kwea
climb panda
clinic kliniki
clitoris kinembe
clitoris vinembe
cloaca kiloaka
clock face
clock bonyeza
clock saa
close eyes
close fumba
close funga
close fungu
clothing libasi
clothing mavazi
clothing nguo
cloth kitambaa
cloth nguo
cloth vazi
clouded leopard
clouded chui-mawingu
clouds mawingu
cloud uwingu
cloud wingu
cloudy utusitusi
clove karafuu
clown kalulu
clown mcheshi
club kilabu
club klabu
club pau
club rungu
clubs karanga
clubs mavi
clubs ya
clubs mbuzi
clubs pao
clubs vilabu
clump of
clump long
clump grass
clump vue
clutch klachi
coach driver
coach saisi
coaches makocha
coach kocha
coachman saisi
coachmen masaisi
coach mkufunzi
coast mapwa
coast mapwaji
coast puani
coast pwani
coast ufuko
coat koti
coat of
coat arms
coat nembo
coats makoti
cockerel jimbi
cockerels majimbi
cockpit dungu
cockroaches makombamwiko
cockroach kombamwiko
cockroach mende
coconut dafu
coconut husk
coconut kozi
coconut milk
coconut kasimile
coconut milk
coconut tui
coconut nazi
coconut palm
coconut mnazi
coconut residue
coconut chicha
coconut water
coconut maji
coconut ya
coconut madafu
coesalphinia boardcella
coesalphinia mkomwe
coffe berry
coffe disease
coffe chelebuni
coffee berry
coffee buni
coffee kahawa
coffee mbuni
coffee mkahawa
coffee plant
coffee mbuni
coffee mmea
coffee pot
coffee dele
coffin jeneza
coffin kifua
cohesion mshikamano
cohesions mishikamano
coin sarafu
cola mkola
cold baridi
cold mafua
collaboration kolabo
collaborations makolabo
collapse zirai
collar kola
collars kosi
collar ukosi
collateral dhamana
collection biganya
Colombia Kolombia
Colombian Kikolombia
Colombian Mkolombia
Colombians Wakolombia
colon alama
colon ya
colon mkato
colonialism beberu
colonialism ukoloni
colonialist beberu
colonialist mkoloni
colonialists wakoloni
colon koloni
colon nukta
colon mbili
colorful ya
colorful rangi
colorful nyingi
color michezo
color rangi
colour rangi
combat mashindano
comb kichana
comb kitana
comedian chale
comedians machale
comedians machali
come kuja
comesa markets
comesa masoko
comesa ya
comesa comesa
comesa market
comesa soko
comesa la
comesa comesa
comfort starehe
comitments shuguli
comma alama
comma ya
comma mkato
comma koma
command amri
commander in
commander chief
commander of
commander the
commander armed
commander forces
commander amiri
commander jeshi
commander mkuu
commander kamanda
commanders makamanda
commandment kanuni
commemoration adhimisho
commemorations maadhimisho
commerce biashara
commissioner kamishna
commissioners makamishna
commission kodi
commission kodisha
commission tume
commitment jizatiti
commitment ziara
committee kamati
committee kamitii
common sense
common akili
communication mawasiliano
communication mawasiyano
communism ukomunisti
communist mkomunisti
communist mpinduzi
communist ukomunisti
communities majumuiya
community jamaa
community jamii
community jumuia
community jumuiya
Comoran Mngazija
Comorans Wangazija
Comorian Kikomoro
Comorian Kingazija
Comorian Mkomoro
Comorian Mngazija
Comoros Islands
Comoros Visiwa
Comoros vya
Comoros Ngazija
Comoros Visiwa
Comoros vya
Comoros Komoro
Comoros Visiwa
Comoros vya
Comoros Ngazija
companies makampuni
companion rafiki
company kampuni
compare linganisha
compass bikari
compass bikeri
compass dira
compassion huruma
compassion rehema
compete wania
competitor mshindani
complainant mlalamishi
complainants walalamishi
complain lalamika
complain lalamishi
complain risala
complaint lalamiko
complaint lawama
complaint manung'uniko
complaints malalamiko
complaints malawama
complain uzushi
complete kamili
complicated kingwangwa
composition insha
composition mtungo
computer karakilishi
computer kompiyuta
computer kompyuta
computer tarakilishi
comrade ndugu
comrade rafiki
concealers mapatano
conceal ficha
concede kai
conclution afikiwa
concubine suria
condemnation shutuma
condemn kashfu
condemn kemea
condensed milk
condensed kufupishwa
condensed maziwa
condolence fariji
condolesense rambirambi
condom kondomu
condom ndomu
conductor kondakta
conductors makondakta
conductor taniboi
conductor utingo
conference mjadala
confession maungamo
confession uungamaji
confidant sahibu
conflict malumbano
confrontation karipio
confrontation pambano
confuse kanganya
confusion zahimu
Congo Jamhuri
Congo ya
Congo Kidemokrasia
Congo ya
Congo Kongo
Congo Jamhuri
Congo ya
Congo Kongo
Congo Kongo
Congolese Kikongo
Congolese Mkongo
Congolese Wakongo
congratulate heko
congratulation hongera
congregation halaiki
conjunction kiunganishi
con people
con matapeli
con person
con tapeli
consciousness fahamu
consequences athari
conserve ifadhi
consonant konsonanti
constellation kundinyota
constipation vimbizi
constituency eneo
constituency bunge
constitutional changes
constitutional mabadiliko
constitutional ya
constitutional kikatiba
constitutional law
constitutional sheria
constitutional ya
constitutional kikatiba
constitutional lawyer
constitutional wakili
constitutional wa
constitutional katiba
constitution katiba
constructed language
constructed lugha
constructed ya
constructed kuundwa
consultation mashauriano
contempt apua
contents yaliyomo
contestants washindani
contest mashindano
contest shindana
contest shindano
contests mashindano
continent bara
continent Bara
continue endelea
contract kandarasi
contract kibarua
contract makandarasi
contractor akidu
contractors maakidu
contracts makandarasi
controller mdhabiti
controllers wadhabiti
contruction worker
contruction mjengaji
convent konventi
conversation mazungumzo
cooked rice
cooked wali
cookery upikaji
cookery upishi
cookie biskuti
cooking mapishi
cooking pot
cooking sufuria
cooking stick
cooking mwiko
cook kupika
cook mpishi
cooks wapishi
cook wapishi
copper shaba
copra nguta
copy nakala
cor anglais
cor baragumu
cor ya
cor kiingereza
core wife
core mke
core mwenza
Corinthians Wakorintho
Corinthians Wakorinto
cork kizibo
corner kick
corner kona
corner kona
cornet tarumbeta
cornet ndogo
corpse maiti
corpse mfu
corpses wafu
correction marekebisho
correct timamu
corruption ufisadi
corrupt paramidi
Costa rica
Costa Kostarika
Costa Rica
Costa Kostarika
Costa Rican
Costa Kikostarika
Costarican Mkostarika
Costa Rican
Costa Mkostarika
Costaricans Wakostarika
cost gharama
cost gharimu
cost of
cost living
cost gharama
cost ya
cost maisha
costume maleba
C te
C d'Ivoire
C Kodivaa
cotton pamba
cotton plant
cotton mpamba
cotton plants
cotton mipamba
couch kochi
cougar puma
cough kikohozi
cough kohoa
cough kohozi
coughs vikohozi
coulitions miuungano
council baraza
council kikao
councils mabaraza
counterfeit baindi
counterfeit bandia
country -a
country kimashamba
country currency
country faranga
country mashamba
country mashambani
country nchi
country shamba
countryside shamba
coupon kuponi
courage udjasiri
courage ujasiri
course kozi
court korti
court kortini
court kotini
court mahakama
court mahakamani
court order
court agizo
court la
court mahakama
court orders
court maagizo
court ya
court mahakama
courtship utongozaji
court tongoza
cousin binamu
cover sitiri
coward chuchu
cowardice uoga
cow bakari
cow dung
cow mavi
cow ya
cow ngombe
cow dung
cow samadi
co-wife mke
co-wife mwenza
cow ngombe
cow ng'ombe
cow peas
cow kunde
cow pen
cow chaa
cow pens
cow machaa
cow pens
cow mazeriba
cow pen
cow zeriba
cowries makululu
cowry kauri
cowry kululu
cowry shell
cowry simbi
cracks nyufa
crack ufa
cranberry juice
cranberry maji
cranberry ya
cranberry kranberi
cranberry kranberi
cranberry mkranberi
crane jeki
crane kinyavu
crane korongo
cranes majeki
crane songeza
cranes vinyavu
crate sanduku
crave tamani
craving utashi
crawl tambaa
crazy kichaa
crease kunjo
crease mkunjo
creases mikunjo
create umba
creation kiumbe
creations viumbe
creature kiumbe
credit crunch
credit shida
credit za
credit kifedha
credit deni
creditor mdai
creditor mkopeshaji
creditors wadai
creole krioli
crested guineafowl
crested kororo
cricket chenene
cricket kriketi
crime jinai
crime uhalifu
criminal mhalifu
criminal mkora
criminals wahalifu
crisis zahama
crisps kaukau
critical condition
critical mahututi
Croasian Mkorasia
Croatia Korasia
Croatian Kikroashia
Croatians Wakorasia
crocodile mamba
crocodile ngwena
crocus karkomu
cronic disease
cronic chamko
Cronus Krono
crosses misalaba
cross eye
cross kengeza
cross misalaba
cross msalaba
crowd umati
crow kunguru
crowned hornbill
crowned kwembe
crowned hornbill
crowned kwembekwembe
crown kirauni
crowns mataji
crowns matiara
crown taji
crown tiara
crow wika
crucify sulubisha
cruel dhalimu
cruel person
cruel mkatili
crumbs chembelele
crust koko
crutch gwato
cry kiliyo
cry lia
crystal fuwele
Cuba Kuba
Cuban Kikuba
Cuban Mkuba
Cubans Wakuba
cuckoo kekeo
culture utamaduni
cumin jira
cumin mjira
cunning kichinichini
cunning mjanja
cupboard kabati
cupboards makabati
cupcake keki
cupcake za
cupcake vikombe
cup kikombe
cup kombe
cups vikombe
cure tiba
curlew kipila
currcumser mkereketaji
currency exchange
currency ubadilishaji
currency sarafu
currency fulusi
current kisasa
current mkondo
curry bizari
curse apizo
curse chira
cursed kid
cursed harasi
curse laana
curse laani
curses malaana
curtain pazia
custom ada
custom desturi
customer care
customer mhudumu
customer mteja
customers wateja
customer wateja
custom forodha
custom testuri
cut kata
cut kukata
cutlass mundu
cyan cyan
cycling baiskeli
cyclone saikloni
cyclops siklopsi
cylinder kuru
cylinder mche
cypress mvinje
Cypriot Msaiprasi
Cypriots Wasaiprasi
Cyprus Saiprasi
Czech cheki
Czechia Ucheki
Czech Kicheki
Czech Mcheki
Czechoslovakia Chekoslovakia
Czecho-Slovakia Cheko-Slovakia
Czechoslovakia Uchekoslovaki
Czecho-Slovakia Ucheko-Slovaki
Czech Republic
Czech Jamhuri
Czech ya
Czech Ucheki
Czech Republic
Czech Ucheki
Czech Wacheki
daffodil nasisa
dagger jambia
dagger nyambuo
dagger ukengee
daily bread
daily riziki
daily kila
daily siku
dairy shajara
daisy jaja
dam lambo
dance cheza
dance ngoma
dance dansi
dance demka
dance densi
dance lelemama
dance ngoma
dandruff mba
Dane Mdeni
Dane Wadeni
danger hatari
dangerous hatari
Danish Kideni
Danish Kidenishi
danish kidenmark
Danish Mdeni
Danish Wadeni
Dar es
Dar Salaam
Dar Dar
Dar es
Dar Salaam
dare thubutu
dark giza
dark red
dark nyekundu
dark iliyokoza
Darsalam Darisaalam
dassie kwanga
dassie pelele
date palm
date mtende
date tarehe
date tende
dating kuchumbiana
Datooga Mmang'ati
Datooga Mtaturu
daughter binti
David Daudi
dawn alfajiri
dawn mapambazuko
day after
day tomorrow
day kesho
day kutwa
day before
day yesterday
day juzi
day break
day pambazuko
day mchana
day siku
deacon shemasi
dead animal
dead nyamafu
deaf kiziwi
deafness uziwi
deal dili
dear gali
death announcement
death habari
death za
death tanzia
death hilaki
death kifo
death mauti
deaths vifo
death tanzia
debate mdahalo
debates midahalo
debit dhima
debt deni
debtor mdaiwa
debtor mdeni
debtor mwiwa
debtors wadaiwa
debtors waiwa
decade muungo
decade mwongo
december desemba
december disemba
decimal miongo
decision kauli
decoration pambo
decorations mapambo
decree dikrii
deed tendo
deep freezer
deep dipfriza
deeply rooted
deeply kita
deeply mizizi
deeply rooted
deeply kita
deeply mzizi
deep refu
deer kulungu
defeat ushinde
defeat ushindwaji
defect kasoro
defence defensi
defender mtetezi
defenders watetezi
deficiency athari
defile najisi
degree digrii
degrees madigrii
delay chelezo
delegate mshenga
delicious tamu
delicious sana
Delphinidae familia
Delphinidae ya
Delphinidae pomboo
Demeter Demetra
Demeter Demita
demigod nusumungu
democracy demokrasi
democracy demokrasia
Democratic People's
Democratic Republic
Democratic of
Democratic Korea
Democratic Jamhuri
Democratic ya
Democratic Kidemokrasia
Democratic ya
Democratic Watu
Democratic wa
Democratic Korea
Democratic Republic
Democratic of
Democratic Congo
Democratic Jamhuri
Democratic ya
Democratic Kidemokrasia
Democratic ya
Democratic Kongo
Democratic Republic
Democratic of
Democratic the
Democratic Congo
Democratic Jamhuri
Democratic ya
Democratic Kidemokrasia
Democratic ya
Democratic Kongo
demon pepo
demon shetani
demons mapepo
denarius dinari
Denmark Denmaki
Denmark Udeni
denomination dhehebu
denominations madhehebu
dent bonyea
deny kana
deodorant kuondoa
deodorant harufu
department idara
dependable player
dependable mchezaji
dependable wa
dependable kutegemea
dependable players
dependable wachezaji
dependable wa
dependable kutegemea
depend tegemea
depertment of
depertment health
depertment idara
depertment ya
depertment afya
depositer mwekaji
deposit rubuni
deposit uwekaji
depot depo
depots madepo
depth kiini
depth kina
depths viini
depths vina
deputy naibu
derailer potovu
descendant mzao
descend shuka
desecrate najisi
desert jangwa
desert nyika
deserts majangwa
deserve stahiki
desire ari
desire hamu
desire tamani
desk dawati
desk deski
desk jarari
desks madawati
desks madeski
despair kukata
despair tamaa
despise dharau
despise madharau
destiny majaliwa
destitution ufukara
destroy atili
destroy haribu
destruction uharibifu
deteriorate dorora
deteriorate fifia
Deutronomy taurati
Deutronomy Torati
development khuendelea
development maendeleo
development ustawishaji
devil ibilisi
devil shetani
diabetes kisukari
diabetes mellitus
diabetes bolisukari
diabetes mellitus
diabetes kisukari
dial bonyeza
dialect lahaja
diameter kipenyo
diameters vipenyo
diamond almasi
diamonds uru
diamond uru
diarrhea harisha
diarrhea kuhara
diary shajara
diary tarihi
dice games
dice dhumna
dichapetalum chikwaya
dictator dikteta
dictatorship udikteta
dictators madikteta
dictionary kamusi
die dadu
die kufa
diesel dizeli
difference tofauti
differenciate tofautisha
different tofauti
differ khitalifiana
difficult ugumu
dig chimba
dinar dinari
dining hall
dining maakuli
dinner chakula
dinner cha
dinner jioni
dinning hall
dinning bwalo
diocese dayosisi
diocese jimbo
Dionysus Dioniso
dip chovya
dip hole
dip pango
dip josho
diplomacy diplomasia
diploma diploma
diplomate mwanadiplomasia
diplomates madiplomasia
dipper dila
dips majosho
direction mwelekeo
directions mielekeo
director mkurugenzi
directors wakurugenzi
dirham dirhamu
dirt chafu
dirt takataka
dirt uchafu
disable kuzima
disagree chokochoko
disappear kutoweka
disaster afa
disaster janga
disasters maafa
disasters majanga
disc diski
disciple mwanafunzi
disciplinary measure
disciplinary hatua
disciplinary ya
disciplinary kinidhamu
disco disko
discount diskaunti
discussion majadiliano
discussion maneno
discussion mazungumzo
discussion mjadala
disease maradhi
diseases magonjwa
disease ugonjwa
dismiss aga
disobey asi
disorder fujo
dispensaries madispensari
dispensaries mazahanati
dispensary dispensari
dispensary zahanati
display zinza
disrespect tweza
dissolve sambaratika
distance umbali
distasteful karaha
distaste karaha
distress dhiki
distressed sononeka
distribute gawanya
distributor mgavi
distributor msambazaji
distributors wagavi
distributors wasambazaji
district commissioner
district mudiri
district wilaya
disturbance mchafuko
disturbances michafuko
disturbance uchokozi
disturbance usumbufu
disturbance utundu
divide gawa
divide gawanya
divination ramli
divine -a
divine kimungu
divisible number
divisible kigawo
divisible numbers
divisible vigawo
division farakano
division tarafa
division ugavi
divorce talaka
divorce taliki
dizziness kisulisuli
dizziness kisunzi
dizziness kizunguzungu
dizziness zulu
Djiboutian Kijibuti
Djiboutian Mjibuti
Djiboutians Wajibuti
Djibouti Jibuti
DNA test
DNA utafiti
DNA wa
DNA DNA
docking fee
docking ardhia
doctor daktari
doctor dokta
doctors madaktari
doctrine maadili
document stakabadhi
document waraka
dodge chenga
dodo doda
Dodoma Dodoma
do fanya
dog kelbu
dog mbwa
dogwood msese
dollar dola
dollars madola
dolphin pomboo
domestic animal
domestic mfugo
domestic animals
domestic mifugo
Dominica Dominika
Dominican Kidominika
Dominican Mdominika
Dominican Republic
Dominican Jamhuri
Dominican ya
Dominican Dominika
Dominicans Wadominika
donation mchango
donations michango
donkey punda
doodle msirimbo
doorman bawabu
door mlango
doors milango
dormitory bweni
doubt shaka
doubt shauku
dough kinyunya
dough mahamri
doughnut andazi
doughnut mandazi
doughnut ndazi
doughnuts mandazi
doum palm
doum mkoma
dove njiwa
down chini
dowry mahari
dowry procession
dowry pamvu
do you
do speak
do English
do unasema
do Kiingereza
do you
do speak
do English
do unasema
do Kiswahili
dozen dazani
dozen dazeni
doze sinzia
dozing lepe
draft constitution
draft katiba
draft hawala
draft mpepea
drag buruta
dragon dragoni
dragon joka
drama sarakasi
drama tamthilia
draughts dama
draughts drafti
drawing mchoro
drawings michoro
drawing uchoraji
draw teka
Dr Dkt
dreadlocks rasta
dream interpretation
dream aguzi
dream ndoto
dream ota
dream -ota
dress gagulo
dress rinda
drill drili
drill kwata
drink kinyuaji
drink kinywaji
drink kunywa
drinks vinyuaji
drink unywaji
drive endesha
drive kuendesha
drive off
drive fukuza
driver dereva
driver mwendeshaji
drivers madereva
drizzle rasharasha
drop kuangusha
droplet nyunyu
drops matone
drop tone
drought kiangazi
drought ukame
drum ngoma
drunkard mlevi
drunkard Sakarani
drunk mlevi
drunk ulevi
dry air
dry hewa
dry kavu
dry cleaner
dry dobi
dry cleaners
dry madobi
dry kavu
dry -kavu
dry place
dry sehemu
dry kavu
duaf mbilikimo
duck bata
ducks mabata
dugong nguva
dugout canoe
dugout mtumbwi
dulcimer santuri
dumping site
dumping dampo
dung kinyezi
durian duriani
dust bin
dust pipa
dust devil
dust kimbunga
duster dasta
duster kifuti
dusters madasta
dust kauta
dust vumbi
Dutch Kiholanzi
Dutchman Mholanzi
Dutch Mholanzi
Dutchs Waholanzi
duty zamu
dwarf kijeba
dwelling place
dwelling chengo
dwindle arijojo
dye plant
dye mdaa
dye plant
dye msirisha
dye plant
dye msizi
dye plants
dye midaa
dye plants
dye misirisha
dye plants
dye misizi
dynamite baruti
dynasty nasaba
dysentery kichocho
each kila
eagle owl
eagle kungwi
eagle ray
eagle pungu
eagles mapungu
eagle tai
ear lobe
ear ndewe
early mapema
early morning
early damka
earning pato
earnings mapato
earring hereni
ear ring
ear kipuli
ear rings
ear vipuli
ear sikio
ears masikio
ear suke
earth alamina
earth arthi
earth dunia
Earth dunia
earth duniani
Earth nchi
earth nchi
earth kavu
earth udongo
earthworm choo
earwax nta
earwax za
earwax sikio
East Africa
East Afrika
East ya
East Mashariki
Eastern Europe
Eastern Ulaya
Eastern ya
Eastern Mashariki
easter pasaka
east mashariki
easy chee
easy rahisi
eater mla
eat kula
ebola ebola
Ebola fever
Ebola Maradhi
Ebola ya
Ebola virusi
Ebola ya
Ebola ebola
ebony -a
ebony abunusi
ebony abunusi
ebony -a
ebony rangi
ebony ya
ebony abunusi
ebony mpingo
ebony rangi
ebony ya
ebony abunusi
e-book kitabu
echidna mhanganungu
echo mwangwi
ecology ikolojia
economics uchumi
economist mchumi
economists wachumi
economy uchumi
Ecuador Ekwado
Ecuadorian Kiekwado
Ecuadorian Mwekwado
Ecuadorians Wawekwado
Eden Edeni
edge chambochambo
edge of
edge a
edge site
edge pindo
edge pembeni
edges kingo
edge ukingo
edifice jengo
Edinburgh Edinburgh
editions matoleo
edition toleo
editor mhariri
Edmonton Edmonton
educate elimisha
education elimu
eel mkunga
effect adhari
effect madhara
effects madhara
effort hekaheka
effort jitihada
effort juhudi
eggplant bilingani
eggplant mbilingani
eggs mayai
egg yai
Egyptian Kimisri
Egyptian Mmisri
Egyptians Wamisri
Egypt Misri
Eid al-Fitr
Eid siku
Eid kuu
Eiffel Tower
Eiffel Mnara
Eiffel wa
Eiffel Eiffel
eight nane
eighty themanini
eland mbungu
eland pofu
elbow kisigino
elbow vikisigino
elder mzee
elders wazee
elect bai
elections kura
election uchaguzi
electoral commissions
electoral tume
electoral za
electoral uchaguzi
electoral commission
electoral tume
electoral ya
electoral uchaguzi
electricity pole
electricity mlingoti
electricity wa
electricity umeme
electricity poles
electricity milingoti
electricity ya
electricity umeme
electricity stima
electricity umeme
electrode elektrodi
electron elektroni
electronic ektroniki
electronics elektroniki
elect uteuzi
element elementi
elements maelementi
elephantiasis matende
elephantiasis of
elephantiasis the
elephantiasis scrotum
elephantiasis busha
elephantiasis of
elephantiasis the
elephantiasis scrotum
elephantiasis pumbu
Elephantidae familia
Elephantidae ya
Elephantidae tembo
elephant kubwa
elephant ndovu
elephant seal
elephant tembo
elephant wa
elephant bahari
elephant tembo
elevator eleveta
elevators maeleveta
elf kibwengo
eloquence usemaji
El Salvador
El Elsavado
embarassment janaa
embarassment pweta
embassy ubalozi
emerald rangi
emerald ya
emerald zumaridi
emerald zumaridi
emerge ibuka
emotional simikwa
emperor kaisari
employee mwajiriwa
employees waajiriwa
employer mwajiri
employers waajiri
employment ajira
emptiness utupu
empty bila
empty shell
empty bupura
empty shells
empty mabupura
empty tupu
enable kuwasha
encourage diriki
encourage hamasisha
encourage himiza
encyclopedia ensaiklopidia
encyclopedia kamusi
encyclopedia elezo
end dali
end kikomo
end mwisho
end ncha
end omega
ends vikomo
end tamati
enemies maadui
enemity uhasama
enemy adui
enemy hasimu
enemy maadui
energy kani
engagement uchumba
engage posa
engineering uhandisi
engine injini
England Uingereza
English -ingereza
English kiingereza
English Kiingereza
english kimombo
english kizungu
Englishman Mwingereza
English Mwingereza
english zunguka
engraver mchoraji
enjoy furahikia
enjoy kujivinjari
enjoy makinika
enmity uadui
enough basi
enough basi
enter kuingia
entertainment burudani
entertain tumbuiza
enthusiasm kakakaka
entrenchment mchimbo
entries vidahizo
entry fee
entry kiingilio
entry kidahizo
entry uingiaji
envelope bahasha
environment mazingara
environment mazingira
enzyme kimeng'enya
enzymes vimeng'enya
Ephesians Waefeso
Ephesus Efeso
epic kigano
epics vigano
epilepsy kifafa
epiphany epifania
equality usawa
equal lines
equal mstari
equal sambamba
equation mlinganyo
Equatorial Guinea
Equatorial Ginekweta
Equatorial Guinea
Equatorial Guinea
Equatorial ya
Equatorial Ikweta
Equatorial Guinean
Equatorial Kiginekweta
Equatorial Guinean
Equatorial Mginekweta
Equatorial Guineans
Equatorial Waginekweta
equator ikweta
Equidae familia
Equidae ya
Equidae farasi
eraser kifutio
Eritrea Eritrea
Eritrean Kieritrea
eritrean mweritrea
Eritrean Mweritrea
-er m-
Eros Erosi
error kasoro
escalator askaleta
escalator eskaleta
escape epuka
escape hepa
escape kwepa
escape ponyoka
escapism utoro
escarpment ngome
Eskimo Kieskimo
Eskimo Mweskimo
Eskimo Waeskimo
Esperanto Kiesperanto
essay insha
essence mchakato
essences michakato
establish auka
estate kitongoji
Esther Esta
Estonia Estonia
Estonian Mwestonia
Estonians Waestonia
eternity dawamu
Ethiopia Ethiopia
Ethiopia Habeshi
Ethiopian Kihabeshi
ethiopian mhabeshi
Ethiopian Mhabeshi
Ethiopian Muethiopia
ethiopian muhabeshi
Ethiopians Waethiopia
Ethiopians wahabeshi
Ethiopia Uhabeshi
etymology etimolojia
eucalyptus mkalitusi
eucharist hostia
euphoria biwi
Euphrates Frati
Eurasia Urasia
European Union
European Umoja
European wa
European Ulaya
Europe Bara
Europe Uropa
Europe Ulaya
Europe Uropa
evade beregeza
evangelism uinjilisti
evangelist mwinjilisti
evangelists wainjilisti
evasion kipengee
Eve Hawa
even hata
evening jioni
evening machweo
event kisa
events matukio
events visa
event tukio
every kila
evicted furushwa
evil baa
evildoer mpotovu
evil maovu
evil ovu
exaggeration doido
examinee mtahiniwa
examiner mtahini
exam mtihani
example mfano
example mifano
example mwongozo
examples mifano
exams mitihani
Excellency Mheshimiwa
except ila
excess zaidi
exchange ubadilishaji
exchequer wizara
exchequer ya
exchequer hazina
excite kusisimua
excitement bambika
excitement mawimbi
excitement msisimuko
exclamation mark
exclamation alama
exclamation ya
exclamation mshangao
exclamation marks
exclamation alama
exclamation za
exclamation mshangao
excuse me
excuse samahani
excuse rudia
excuse me
excuse tafadhali
excuse naomba
excuse unipishe
executioner mchinja
executioner mchinjaji
executioner mnyongaji
executive mtendaji
executor mfanya
executor mfanyi
executor mrithisha
executor mrithishi
executor mtekelezaji
executor wasii
exercise mazoezi
exercises mazoezi
exercise zoezi
exhibit kizibiti
exorcism ceremonies
exorcism mapungo
exorcism ceremony
exorcism pungo
expectation kusudio
expectations makusudio
expectations matarajio
expectation tarajio
expect tazamia
expenses harija
expensive gali
expensive ghali
experience taamula
experience tajiriba
experience tajriba
experience uzoefu
expert fahali
expert galacha
expert gwiji
expertise ujuzi
expert mtaalam
expert mtaalamu
experts mafahali
experts magalacha
experts wataalamu
expert ushupavu
expiation kafara
explain eleza
explanation ufafanuzi
exploitation unyonyaji
explosion mlipuko
expose funua
extinguish kuzima
extra ziada
