abaca abaka
corruption pangungurakot
corrupt korap
corrupt kurakot
corrupt tiwali
corset kurse
cortex luknap
corymb kumpulbulak
cosecant kasekway
cosignatory kalagda
cosine kasinway
cosmetic kosmetiko
cosmic ray
cosmic sinag-mayaw
cosmogony mulmayawan
cosmography talamayawan
cosmology dalubmayawan
cosmonaut malimayaw
cosmos mayaw
cosmotron pandarasig-mayaw
cosplay cosplay
Cossack Kosako
Costa Rica
Costa Kosta
Costa Rika
cost halaga
cotangent katanway
C te
C d'Ivoire
C Baybayin
C ng
C Garing
C te
C d'Ivoire
C C
C te
C d'Ivoire
cottage cheese
cottage kesong
cottage puti
cotton bulak
cotton koton
cotyledon bindahon
cotyledonous bindahunin
council sanggunian
counseling hinanaw
counseling paghihinanaw
counsel maghinanaw
counselor tagapayo
counterclaim ganting-habol
counterfeiter manghuhuwad
counterfeit huwad
counterweight gantimbigat
countless di
countless mabilang-bilang
country bansa
countryside probinsiya
coup d'
coup tat
coup kudeta
couplet dalawahan
couplet dulay
couplet kopla
coupon kupon
courage katapangan
courage lakas
courage ng
courage loob
courage tapang
courgette kalabasin
courgette kalabasita
court martial
court hukumang-hukbo
court of
court first
court instance
court hukumang
court unang
court dulugan
courtship panliligaw
cousin pinsan
covalent bond
covalent kakalwinging
covalent bigkis
covariance kaalig
covet imbutin
cowlick puyo
coworker kamanggagawa
coyote koyote
crab alimango
crabapple alimangong
crabapple mansanas
crab mentality
crab isip-alimango
cranberry arandano
cranberry pulang
cranberry arandano
crane grua
crane kreyn
crane tipol
cranial bunguin
cranial nerve
cranial bunguing
cranial dagandam
cranial pamungo
crankshaft sikaran
crankshaft tandos-sikaran
cranky di-mapakali
cranky malikot
crash landing
crash pabagsak
crash na
crash pagdungka
crater bunganga
crater ng
crater bulkan
crater krater
crater lungaw
crazy baliw
cream laknip
creationism kreasyonismo
creation sangkalikhaan
creativity pagkamapanlikha
Creator Maykapal
credit pantaw
credit union
credit kaisahang
credit pamantaw
creek ilat
creek sapa
creosote kreyosota
crepe krespon
crescent gasuklay
crescent moon
crescent bulang
crescent gasuklay
crest tuktok
cricket kerwe
cricket kriket
cricket kuliglig-lupa
crime krimen
criminal code
criminal pamparusang
criminal kabatasan
crisis krisis
crispy malutong
crista palung-palungan
criterion panuntunan
critical angle
critical maselang
critical siha
critical mass
critical maselang
critical bugat
critical point
critical maselang
critical tungos
criticism pamumuna
criticism panunuri
critic mamumuna
croak kokak
croak kumokak
Croatia Croatia
crocodile buwaya
crop ani
crosier bakulo
crossbeam balagbag
crossbow balyesta
crossbow pasulo
crosscut saw
crosscut lagaring-pamutol
cross-eyed duling
cross-fertilization tawidsapunla
cross-legged tansila
cross-multiplication laktawang
cross-multiplication palaramihan
cross-pollination tawidsapunlatil
crossroads sangandaan
cross-tie trabyesa
crossword krusigrama
crowbar landok
crowbar landol
crowbar ligkal
crowd libumbon
crow uw
crow k
crucible lila
crude oil
crude krudo
cruel malupit
crumbly damol
crupper batikola
crupper sabuntot
Crusade Krusada
crust upak
crust upak
crust ng
crust Duta
crutch muleta
crutch saklay
Crux Kamaliing
cry lumuha
cryogenics kublamigan
crystal ball
crystal banawan
crystalliferous palabubog
crystalline bubugin
crystallization sabubog
crystallography talabubugan
crystalloid malabubog
cry umiyak
Cuba Kuba
cube binuok
cubed binuok
cube root
cube taluugat
cubic buukin
cubic curve
cubic buuking
cubic kilo
cubic equation
cubic buuking
cubic tumbasan
cubit siko
cuckoo kakok
cucumber pipino
cudgel pambatikos
cud timayok
cue balap
cuff punyos
culinary pagluluto
culinary sa
culinary pagluluto
cult kulto
culture kalinangan
culture kultura
culture pamumuhay
culvert alkantarilya
cumin komino
cum laude
cum may
cum papuri
cumulative distribution
cumulative function
cumulative kabisa
cumulative ng
cumulative maragdaging
cumulative pamamahagi
cumulative maragdagin
cumulus buntuning
cumulus alapaap
cunnilingus brotsa
cupboard aparador
cupboard binggal
cupboard paminggalan
cupboard platera
Cupid Kupido
cupping glass
cupping bakam
cup tasa
curator agsinop
curdled kulta
curdled kurta
curdled kurtado
curiosity killed
curiosity the
curiosity cat
curiosity ang
curiosity sobra-sobrang
curiosity pag-usisa
curiosity ay
curiosity delikado
currant groselya
current agos
current kaampiran
curriculum talaaralan
currycomb almuhasa
currycomb almuwasa
curry kari
curse sumpa
curvature kakiluan
curve guhit
curve na
curve kilo
curve kilo
cuspid pamangal
cuspid pangalis
custodian taga-ingat
cut hiwa
cyanide siyanuro
cyan siyano
cyclic salkupin
cycling pagbibisikleta
cyclist siklista
cyclone buhawi
cyclopaedia talaalaman
Cygnus Gansa
Cygnus Hilagang
Cygnus Paripa
cylinder bumbong
cylindrical binumbong
cylindrical bumbungin
cymbal pompiyang
cypress sipres
Cyprus Tsipre
cyst kiste
cytochemistry silidkapnayan
cytochrome silidkulay
cytogenetics silidmanahan
cytokinesis silidkilos
cytologist palasihay
cytology palasihayan
cytoplasm silidkaphay
cytoplast silidkatwan
cytosome silidlawas
Czech Republic
Czech Republikang
Czech Tseko
dagger balaraw
dagger punyal
dahlia dalya
dairy gatasin
dais tarima
daisy butonsilyo
Dalmatia Dalmasya
damage kapinsalaan
damage nagiba
damage nasira
damage pinsala
damaging nakakapinsala
Damascus Damasko
dam prinsa
dam saplad
dam tarundon
dancehall bahay-sayawan
dance sayaw
dance sumayaw
dandruff balakubak
Dane Danes
dangerous delikado
dangerous mapanganib
danger panganib
Daniel Daniel
Danish Danes
Danube Danubyo
dark itim
dark madilim
darkness kadiliman
database database
data datos
data malak
date datiles
date petsa
date taburaw
daughter anak
daughter-in-law babaeng
daughter-in-law manugang
David David
David ng
David Israel
day after
day tomorrow
day samakalawa
day araw
day before
day yesterday
day kamakalawa
daybreak bukang-liwayway
deacon diyakono
dead end
dead daang
dead sukol
dead patay
Dead Sea
Dead Dagat
Dead na
Dead Patay
Dead Sea
Dead Dagat
Dead Patay
deaf bingi
dean dalubpuno
dean dekano
dearth kulang
death kamatayan
death march
death martsa
death ng
death kamatayan
debt utang
decadent namumulok
decade pultaon
decade sinampu
decagonal pulsihain
decagon pulsiha
decahedron puldayag
decametre pulpanukat
decay pugnaw
decelerate hidarasigin
deceleration hidarasig
December Disyembre
deci- kapul-
decile kasampuin
decilitre kapulitro
decilitre kapullitro
decimal fraction
decimal sampuing
decimal hatimbilang
decimal place
decimal sampuan
decimal point
decimal sampuing
decimal tuldok
decimal point
decimal tuldok-sampuan
decimal sampuan
decimal sampuin
decimal system
decimal panampuan
decimal system
decimal sampuing
decimal kaayusan
decimetre kapulpanukat
declension saukol
decolonize hisakupin
decontrol hisupil
decoration dayan
decoration palamuti
decorticator luknapan
decoy kati
decoy pangati
dedication patungkol
deduct awasin
deduction panaklawan
deed kasulatan
deep dep
deep malalim
deer usa
default pagkukulang
defecate pagdumi
defecate pagtae
deferent masunurin
deferred inantala
defile banawag
definite integral
definite turing
definite na
definite lagom
definition kahulugan
deforestation higubat
degree antas
de- hi-
dehiscent tilarin
dehydrated alirang
dehydration hitubig
deify bathalain
deify diyusin
deity anito
deity diyus-diyusan
delegation delegasyon
deliberate sinadya
delicious masarap
delinquency kadalinsilan
delinquent dalinsil
deliquescence tagitubig
deliquescent tagitubigin
delouse hinguthan
delouse hingutuhan
delta delta
demand curve
demand kilo
demand ng
demand kahingian
demand deposit
demand pangkailangang
demand lagak
demand kahingian
demijohn damahuwana
democracy demokrasya
democracy madlakasan
Democratic People's
Democratic Republic
Democratic of
Democratic Korea
Democratic Demokratikong
Democratic Republikang
Democratic Popular
Democratic ng
Democratic Korea
Democratic Republic
Democratic of
Democratic the
Democratic Congo
Democratic Demokratikong
Democratic Republika
Democratic ng
Democratic Congo
demography talasantauhan
demolish gibain
demon demonyo
demonic malademonyo
demonstrative pronoun
demonstrative panghalip
demonstrative na
demonstrative pamatlig
dengue dengge
denim maong
den kubil
Denmark Dinamarka
Dennis Densyo
denominator pamahagi
density kasiksikan
dentist dentista
dent piing
department kagawaran
department store
department almasen
depart umal
depart s
dependent disarilinin
dependent variable
dependent disarilining
dependent aligin
deposit latak
depression depresyon
depression hidiin
depth sounder
depth pang-arok
derivative hango
dermatitis magambalat
dermatological palabalatin
dermatologist palabalat
dermatology palabalatan
derrick bintag
descendant inanak
descent panupling
descriptivism pagkalarawanin
desert disyerto
desert magpabaya
desert tumakas
desert tumanan
deserving tampat
design antangan
despondency hinayo
despondency paghihinayo
dessert panghimagas
destructive criticism
destructive mapanirang
destructive pamumuna
destructive criticism
destructive pamumunang
destructive mapanira
destructive mapanira
detailed masaliksik
detail kasaliksikan
detective tiktik
detector paniktik
detention bimbin
detention binbin
detention pagkabinbin
determinant taliyak
determined desidido
detonator pandiklap
deuteron duhasik
Deuteronomy Deuteronomio
Deuteronomy Kaduhambatas
developing papaunlad
development saunlad
deviate lumihis
deviation kaliwasan
deviation liwas
device pakasam
devotion devotion
dew hamog
diabetes pag-ihi
diabetes ng
diabetes matamis
diabetic diyabetiko
diacritical mark
diacritical tuldik
diadem diyadema
diagnosis suring-aral
diagnostician manunuring-aral
diagonal hilis
diagonal matrix
diagonal hilising
diagonal baskagan
diagram guhitin
dialectology palawikainan
dialect wikain
dialogue dalwausap
diameter bantod
diamond brilyante
diamond diyamante
diamonds oros
diaphanous masilim
diaphragm lamang-tabing
diarrhea bululos
diarrhea pagtatae
diarrhea talasok
diary talaarawan
diatomic dalmulpiknin
diatonic scale
diatonic talalinggang
diatonic payak
dichogamy duhanggulangan
dichromatic duhangkulayin
dick titi
dicotyledon duhambin
dicotyledon duhambindahon
dicotyledonous duhambindahunin
dictate diktahan
dictator diktador
dictionary diksiyonaryo
dictionary diksyunaryo
dictionary talatinigan
dictyosome balaglawas
die dado
dielectric disaluyan
die matay
dietetics dalubpagkainan
dietitian dalubpagkain
dietitian dalubpakain
difference kaibhan
differentiable matitingid
differential calculus
differential tingiring
differential tayahan
differential equation
differential tingiring
differential tumbasan
differential tingid
differential tingirin
differentiation pag-iiba
differentiation pagtitingid
different iba
difficult mahirap
diffidence himan
diffidence kahimanan
diffusion panunuot
digestive system
digestive satunawing
digestive kaayusan
digit tambilang
dignity dignidad
digression kaliklikan
digressive maliklik
dilemma awampili
dill eneldo
dilute binantuan
dilute malabnaw
dimension sukod
dimple biloy
dingo dinggo
dining room
dining kakanan
dining room
dining silid-kainan
dining table
dining dulang
dining table
dining hapag-kainan
dinner hapunan
dinosaur bayawak-kilabot
dinosaur dinosawriyo
diocesan diyosesano
diocese diyosesis
diode diyodo
diode duhandas
diphthong kambal-patinig
diploid duhambilmanahin
diplomacy palatalastasan
diplomatic palatalastasin
diplomatic relations
diplomatic palatalastasing
diplomatic ugnayan
diplomat palatalastas
dipole daltaluktok
directed graph
directed itinungong
directed talangguhit
directed infinity
directed awanggang
directed itinungo
direct object
direct tuwirang
direct layon
directory talahanapan
dirty madumi
dirty marumi
disbursement paluwal
disciple disipulo
disciplinarian mapanakdang-asal
discipline disiplina
discipline takdang-aral
discontinuity dikatuluyan
discontinuous dituluyan
discount awas
discrepancy biso
discrete hiwalay
discrete variable
discrete hiwalay
discrete na
discrete aligin
discriminant talangi
disease balatian
disease sakit
disfigure despigurahin
disfigure papangitin
dish pinggan
dish plato
dishwasher tagahugas
dishwasher ng
dishwasher pinggan
dishwasher tagahugas
dishwasher ng
dishwasher plato
disintegration hiugnay
disjoint diugnay
disk dalipay
disk disko
dislocate malinsad
dislocation pagkapiang
dismember hiwagin
dismissal pawalansaysay
disobedient pasaway
disorderly halawhaw
disorganization pagkakawatak-watak
dispersion kakalatan
dispersion pagkalat
displacement galaw
disprove pabulaanan
dispute balitaktak
dissection panisnisan
dissipation paglilimayon
dissolution pagbuwag
dissolution pagkabuwag
dissonance dilingaw
distance agwat
distance formula
distance sanyo
distance ng
distance agwat
distillate siningawkintay
distillate sinintay
distillation singawkintay
distilled water
distilled siningawkintay
distilled na
distilled tubig
distilled water
distilled sinintay
distilled na
distilled tubig
distillery alakan
distinct natatangi
distribution pamamahagi
distributive bahagihin
disturb abala
disturb gambala
divergent palayo
divergent series
divergent palayong
divergent dalayray
diver maninisid
diversity balaki
diversity kabalakihan
diversity kayamuan
divide hatiin
divide maghati
dividend hatiin
divine binathala
divine dibino
divine mabathala
diving bell
diving spider
diving kutukuto
diving bell
diving spider
diving kutuntubig
divinity batha-bathalaan
divinity pagkabinathala
divinity palabathalaan
divisibility pagkahatiin
divisible mahahati
division palahatian
division sign
division tanda
division ng
division palahatian
divisor pahati
Djibouti Yibuti
doctor doktor
Doctor of
Doctor Philosophy
Doctor paham
Doctor ng
Doctor batnayan
doctor paham
doctrine aral
doe libay
does anyone
does here
does speak
does English
does meron
does ba
does ditong
does marunong
does mag-Ingles
dogfish bilingbiling
doggerel tulakis
dogwood korneho
dolichocephalic habang-uluhin
dollar dolyar
doll manika
doll tataw
dolphin lumbalumba
dolphin lumba-lumba
domain saklaw
dome bobeda
dome bobida
dome kupola
domesticated amak
domestication sapaamo
dominant nananaig
Dominica Dominika
domino domino
donburi donburi
donkey buriko
don't huwag
don't worry
don't huwag
don't mag-alala
doodle gumuri
doodle guri
doodle magguri
doorknob tumbol
doormat kuskusan
doormat ng
doormat paa
door pinto
Doppler effect
Doppler bisang
Doppler Doppler
dorsal likuran
dorsal panlikod
dosimeter tambadsukod
double chin
double kabil
double dalwahan
double jeopardy
double makalawang
double pagkasuong
doubt alinlangan
doubt duda
doubt duda
doubt alinlangan
douchi tawsi
doughnut donat
dough tapay
dovecote bahay-kalapati
dove kalapati
dovetail bakam
dowel klabiha
downhill dalhak
down payment
down pauna
down payment
down paunang
down bayad
downstream ilawod
down-to-earth praktikal
downtown bayanan
downtown gitnambalen
downtown gitnambayan
downtown kabalinan
downtown kabayanan
dowry bigay-kaya
dowry ubad
do you
do speak
do English
do nagsasalita
do ba
do kayo
do ng
do Ingles
do you
do speak
do English
do nagsasalita
do ba
do kayo
do ng
do Tagalog
do you
do speak
do English
do nagsasalita
do ka
do ba
do ng
do Ingles
drachma drakma
draft waki
dragon dragon
dragonfly tutubi
dragon fruit
dragon pitaya
dragoon dragun
drainage sakati
drain bambang
drain bangbang
drain patuluin
draughts dama
drawer kalsunsilyo
draw gumuhit
draw idrowing
draw iguhit
draw magdrowing
dread alap-ap
dreamcatcher manghuhuli
dreamcatcher ng
dreamcatcher pangarap
dreamcatcher panghuli
dreamcatcher ng
dreamcatcher pangarap
dreamcatcher tagahuli
dreamcatcher ng
dreamcatcher panaginip
dream panaginip
dream pangarap
dredge draga
dreg laro
dress damtan
drinking straw
drinking halusan
drink inom
drink inumin
drink pag-inom
drink tagay
drink toma
driverside sa
driverside piskante
drizzle ambon
droppings ipot
dropsy kalamayo
dross taing-bakal
drought baisi
drought bisi
drowsiness antok
drug droga
drumbeat gandang
drumbeat telebong
drum karlang
drumstick tree
drumstick malunggay
drum tambol
drunk barik
drunk lango
drunk lasenggo
drunk lasing
drunk lasinggero
dryer patuyuan
dry tuy
dual dalawahan
Dublin Dublin
duchess dukesa
duck bibi
duck itik
duct anuran
dude Tol
duel akip
due process
due tumpak
due na
due saayos
dues butaw
dugong dugong
duke duke
dull mapurol
dumbbell pesas
dump agsaman
dumping pagtatambak
dumpsite agsaman
dungeon bartolina
duodenum punong-isaw
duplicate duhasipi
duplicate kahalintulad
duplicate katulad
durian durian
durian duryan
dust alikabok
duster pamalis
dust gabok
dust jacket
dust balot-aklat
dust jacket
dust pabalat
Dutch Olandes
Duterte Duterte
dwarf himandak
dying naghihingalo
dyke tibo
dynamic equilibrium
dynamic isiging
dynamic katiningan
dynamics isigan
dynamics palaisigan
dynamite dinamita
dynamo likhitab
dynast halhari
dynastic halari
dynastic war
dynastic halaring
dynastic digmaan
dynasty dinastiya
dynasty halari
dysentery balaod
dysentery daragis
dysentery iti
dysentery pag-iiti
dysmenorrhea masakit
dysmenorrhea na
dysmenorrhea dating
dyspnea paghihirap
dyspnea sa
dyspnea paghinga
eagle agila
eagle banoy
earache sakit-tainga
eardrum salamin
eardrum ng
eardrum tainga
earless pingol
ear lobe
ear pingol
earphone talinig
ear puso
earring hikaw
ear tainga
earth daigdig
Earth Daigdig
Earth Duta
earth lupa
earthquake lindol
earthworm bulateng
earthworm lupa
ear uhay
earwax tutuli
easel kabalyete
Easter Pasko
Easter ng
Easter Muling
Easter Pagkabuhay
Easter Sunday
Easter Linggo
Easter ng
Easter Pagkabuhay
east silangan
East Timor
East Silangang
East Timor
easy madaling
eat kain
eat kainin
eat kumain
eat nilamon
eave palantikan
eaves balisbisan
eaves sibe
eavestrough alulod
ebony bantulihaw
ebony ebano
e-book dagisiking
e-book aklat
ebullioscope kulunsipat
ebullioscopic kulunsipatin
eccentric luwastungain
ecchymosis pasa
Ecclesiastes Ang
Ecclesiastes Mangangaral
echidna ekidna
echinoderm tinikan
echo umalingawngaw
eclipse duyog
eclipse laho
eclipse paglalaho
ecliptic guhitlaw
eco- eko-
ecology ekolohiya
ecology palamuhayan
economic agimatin
economic rent
economic agimating
economic upa
economics agimatan
economics ekonomika
economist dalub-agimat
economy agimat
economy ekonomiya
economy kapamuhayan
ecstasy droga
ecstatic pinakamasaya
ectoplasm labaskaphay
Ecuador Ekwador
ecumenical malukubin
ecumenism pagkamalukubin
eddy uliuli
edema pamamanas
Edinburgh Edimburgo
edition hipno
editor in
editor chief
editor punong
editor patnugot
Edmonton Edmonton
educated edukado
education edukasyon
education katuruan
eel igat
efface bura
effective mapakipakinabang
efficiency katalaban
efficiency katalban
efficient matalab
efflorescence halintubig
effusion panlalagos
eggcup webera
eggnog egnog
eggplant talong
egg-shaped habilugin
eggwhisk pambati
e g
e halimbawa
egocentricity kaakuhan
Egypt Ehipto
Egyptian Ehipsiyo
Eid al-Fitr
Eid Pagtatapos
Eid ng
Eid Ramadan
Eiffel Tower
Eiffel Toreng
Eiffel Eiffel
eighteen labingwalo
eighteenth ikalabing-walo
eighth ikawalo
eight hundred
eight walundaan
eightieth pangwalumpu
eight thousand
eight walunlibo
eight walo
eighty walumpu
elastic igkasin
elasticity naynay
elastic manaynay
elbow s
elbow ko
election eleksyon
electrical engineering
electrical dagitbing
electrical agsikapan
electric dagitbin
electrician mandadagitab
electricity dagitab
electricity dagitban
electricity elektrisidad
electricity kuryente
electricity meter
electricity puntador
electric motor
electric dagisog
electrobiology dagihaynayan
electrocardiogram pangguhitab-puso
electrochemistry dagikapnayan
electrode dagindas
electrodynamics dagitsigan
electrolyte dagilusaw
electrolytic dagilusawin
electromagnet dagitabalani
electromagnetic dagibalniin
electromagnetic wave
electromagnetic dagibalniing
electromagnetic liboy
electromagnetic wave
electromagnetic liboy-dagibalniin
electromagnetism dagibalnian
electromagnetism kadagibalnian
electromotive dagisaluyin
electron cloud
electron dagisik-ulap
electron cloud
electron ulap
electron ng
electron dagisik
electron configuration
electron kalarawnan
electron ng
electron dagisik
electron dagisik
electronegative dagibaling
electronegativity kadagibalingan
electron hole
electron butas
electron ng
electron dagisik
electronic cigarette
electronic dagisiking
electronic sigarilyo
electronic dagisikin
electronic game
electronic dagisiking
electronic laro
electronic organ
electronic dagisiking
electronic organo
electronics dagisikan
electronics elektronika
electron microscope
electron miksipat
electron ng
electron dagisik
electron pair
electron kapid-dagisik
electroosmosis dagipananagos
electropositive dagitahas
electropositivity kadagitahasan
electroscope dagitsipat
electrosphere dagibulog
electrostatic dagitigilin
electrostatics dagitigilan
electrovalency dagikalwing
element elemento
element mulangkap
element mulhagi
elephant elepante
elephant gadya
eleven labing-isa
eleventh ika-labing-isa
eleventh pang-labing-isa
elite kapilian
ellipse duyog
ellipse tambilugan
elm olmo
El Salvador
El El
El Salbador
emaciation pangangayayat
email dagisiking
email sulat
email dagisulat
email sulatroniko
embalmer embalsamador
embankment pimpin
embargo pagpigil
embarrassment dalang-hiya
embassy embahada
embassy pasuguan
ember baga
embezzlement paglustay
embezzlement panlulustay
embezzler manlulustay
emblem sagisag
emblem simbulo
emboss buralan
emboss buralin
embroidery burd
embryo bilig
em em
emerald esmeralda
emergency medical
emergency service
emergency kagipitang
emergency lingkod-panggagamot
emeritus higlingkurin
emery esmeril
emigrant manluluwasbayan
emigration luwasbayan
emitter pang-itid
emotional madamdamin
emotion damdamin
emotion emosyon
emotion sandandam
emperor baginda
emperor emperador
empire imperyo
empire kabagindahan
empirical data
empirical masiring
empirical malak
empirical formula
empirical masiring
empirical sanyo
empirical masirin
employee kawani
emporium emporyo
empty set
empty walang-lamang
empty tangkas
emulation amban
emulation pag-amban
emulsion lapunaw
emulsoid malalapnaw
encephalitis ensepalitis
encephalitis magang-utak
encore pag-ulit
encyclopedia ensiklopedya
encyclopedia santalaalaman
end dulo
end kamatayan
end katapusan
end matapos
endocarp sulodbalok
endodermis kubbalat
endoplasm loobkaphay
endoskeleton kalansay-panloob
endosmosis loobpananagos
endosome looblawas
endosperm lukad
endothermic sulud-initin
endozoochory loobhayupibuan
endpoint dulong
endpoint tuldok
endpoint upong
end tapusin
end wakas
enemy kaaway
energy kusog
engagement talimbuhol
engineer agsikap
engineering agsikapan
engineering inhenyeriya
engineer inhinyero
engineer makinista
engine likhisog
England Inglatera
English english
English Inglatero
English Ingles
enigma hibat
enlighten maliwanagan
ennui pantot
enteric bitukahin
enteritis magang-isaw
enteritis pamamaga
enteritis ng
enteritis isaw
enter pumasok
entertainment aliwan
entertainment pag-aaliw
enthalpy sanginit
enthymeme maysaisip
entomologist dalubkulisap
entomology dalubkulisapan
entomology entomolohiya
entrepreneur maninikap
entropy malikusog
enumeration sabilang
envelope bilot
envelope sobre
epexegesis salisaysay
Ephesians Mga
Ephesians Taga-Efeso
Ephesus Epeso
epiblast muldaluyan
epic darangan
epic epika
epidemic salot
epidermis balatdahon
epidermis balatpuno
epidermis balat-ugat
epididymis puno
epididymis ng
epididymis anurang-punlay
epidote epidota
epiglottis harang-pasadila
epigram tugmatiyaw
epilepsy gotakural
epilepsy kisay
epilogue pamuod
Epiphany Pista
Epiphany ng
Epiphany Tatlong
Epiphany Hari
epiphyte halamang
epiphyte anginin
epiphyte halamang
epiphyte kapitin
Epirus Epiro
epistaxis balinguyngoy
epistemology alaman
epistemology dalub-alaman
epoch daktion
epsilon epsilon
equal parehas
equation tumbasan
equator ekwador
equator gitguhit
Equatorial Guinea
Equatorial Gineang
Equatorial Ekwatoriyal
equiangular parisiha
equidistant pariagwat
equilateral parigilid
equilateral triangle
equilateral parigiliring
equilateral tatsiha
equilibrium constant
equilibrium katiningang
equilibrium lagiin
equilibrium katiningan
equinox ekinoksyo
equipment pagaway
equivalent kahalga
equivalent kapantay
equivalent kapareho
equivalent katimbang
equivalent katumbas
era higtion
eraser pambura
erasure bura
erasure bura-bura
erasure pagbura
erection pag-iri
Eridanus Ilog
Eritrea Eritreya
ermine arminyo
erosion pagkapudpod
erosion sapudpod
errata talamalian
error kamalian
error mali
ersatz peke
erudite matalisik
erudition kaalaliman
escabeche eskabetse
escabeche lampahan
escalator sigdan
escape pagtakas
escape takas
Esdras Ezra
espionage pagbatyaw
Esther Ester
Estonia Estonya
Estonian Estonyano
estoppel hadlang
estuary wawa
eta eta
et al
et at
et iba
et pa
etc atbp
ethane daltan
ethics asalan
ethics dalubasalan
ethics dalub-asalan
ethics kaasalan
ethics palaasalan
Ethiopia Etiyopiya
Ethiopia Etyopya
Ethiopian Etiyope
ethmoid bone
ethmoid butumbithay
ethnography talalahian
ethnology dalublahian
etymology etimolohiya
etymology palamuhatan
etymology panuysuyan
eugenics butinsuplingan
euphemism pahiman
euphemistic pahimanin
euphony hunig
euro euro
European Union
European European
European Union
European Yuropin
Europe Yuropa
euthenics butimbuhayan
evaluate halgahan
evaluation paghahalga
evaluator tagahalga
evaporated milk
evaporated letse-ebaporada
evaporation alanguang
evaporation hisingaw
evaporator hisingawan
evapotranspiration halmanhisingaw
eve bisperas
Eve Eba
even if
even kahit
even na
even number
even bilang
even na
even tukol
event balagha
event pangyayari
even tukol
event yari
evidence katibayan
evil eye
evil balis
evil eye
evil ohiya
evil eye
evil usog
evil itim
evolute balisultag
evolutionary theory
evolutionary huna
evolutionary ng
evolutionary kasunlaran
evolution ebolusyon
evolution kasunlaran
evolution pagsunlad
evolve sumunlad
exact sayap
exact singkad
examination sulit
excavate balon
excavate buksan
excavate hukay
excavator pamungkal
excelsior sulake
excessive labis
exchange palitan
exchange palitin
exclamation bulalas
exclamation mark
exclamation tandang
exclamation padamdam
excommunication ekskomunyon
excoriation lalak
excoriation paglalak
excretion paluwasan
excuse dahilan
excuse hayaan
excuse magpatawad
excuse me
excuse makikiraan
excuse po
excuse patawarin
executive branch
executive sangay
executive tagapagpaganap
exercise pagsasanay
exhaustion pagod
exhaust pipe
exhaust tambutso
exhaust valve
exhaust pulasang
exhaust tudlang
exhibition eksibisyon
exhibition tanghalan
exhibit itanghal
existence kamayhan
existence kamayrunan
exocarp labasbalok
Exodus Exodo
Exodus Pagluwas
ex officio
ex sabilin
exoskeleton kalansay-panlabas
exothermic luwas-initin
expansion buklad
expansion pagbuklad
expensive mahal
experience danas
experience karanasan
experimental tilawin
experiment tilaw
expert dalubhasa
expert eksperto
expertise kadalubhasaan
expiration luwashingahan
expiry date
expiry petsa
expiry ng
expiry paglipas
expiry date
expiry taburaw
expiry ng
expiry paglipas
explanation paliwanag
explicit function
explicit lantad
explicit na
explicit kabisa
explicit lantad
exploitation panghuhuthot
explosive putukin
exponential distribution
exponential pauliting
exponential pamamahagi
exponential function
exponential pauliting
exponential kabisa
exponential paulitin
exponent paulit
exporter tagaluwas
expression pahayag
extension cord
extension dugtungang-kawad
extinction lipol
extinction pagkalipol
extinction paglipol
extortion pangingikil
extrapolate iduklay
extremes mga
extremes sukdulan
extreme sukdulan
extreme unction
extreme ekstremaunsyon
extrovert luwaswili
eyebags kalumata
eyebags munglo
eyebags pamunglo
eyeball bilumata
eyeball buliga
eyebrow kilay
eyebrow pencil
eyebrow lapis
eyebrow pangkilay
eyedrop pamasla
eyelash pilikmat
eyelet ohetes
eyelid takipmata
eyelid takubmata
eyelid talukapmata
eye of
eye the
eye storm
eye mata
eye ng
eye bagyo
eye of
eye the
eye storm
eye puyo
eye ng
eye bagyo
eye patch
eye babat
eyeshade gusilaw
Ezekiel Ezekiel
Ezra Ezra
fable pabula
fable sayguni
fabrication gawa
fabrication gawa-gawa
fabrication imbento
fabrication pag-imbento
fabric tela
fa ade
fa dayag
fa ade
fa karayagan
Facebook Facebook
face mukha
face-to-face pangita
facet tapyas
fact bagha
fact makatotohanang
fact obserbasyon
factor bungkagin
factorial buuin
factorization pagbungkag
factor kabuo
factory pabrika
factory pagawaan
faculty kaguro
faculty kaguruan
Fahrenheit Parenhait
Fahrenheit Parenhayt
fairy ada
fairy tale
fairy kakana
fairy tale
fairy kuwentong
fairy bibit
faith pananampalataya
faith paniniwala
falcon palkon
Falkland Islands
Falkland Mga
Falkland Pulong
Falkland Malbinas
fallacy kasinsayan
fall for
fall maloko
Fallopian tube
Fallopian anurang-itlog
false alarm
false tibadbad
familiar mahilway
familiar pamilyar
family angkanhay
family kamag-anakan
family mag-anak
family pamilya
family planning
family sabalak-angkan
famine taggutom
famished dayukdok
famous kilala
fan abaniko
fan bentilador
fang panigbi
fan pamaypay
fan tagahanga
farad parad
farce tiyaw
farcical matiyaw
Far East
Far Malayong
Far Silangan
Far East
Far Silanganan
fare bigay-ahon
fare pasahe
farewell paalam
farmer magsasaka
farm sakahan
Faroe Islands
Faroe Kapuluang
Faroe Peroe
fart pag-utot
fart umutot
fart utot
fart ut
fart t
fascism pasismo
fashionable asak
fashion moda
fastener talasok
fasting ayuno
fast mabilis
Fates Parkas
fate tadhana
father ama
fatherhood pagkaama
father-in-law biyanang-lalaki
father tatay
fathom dipa
fatigue mapagod
fatigue pagal
fatigue pagod
faun pawno
